claim_ground_kps,subset,my_category,id,query,cluster_id,claim_cluster,ground,ground_clusters,arg_input
"{
  'claim': 'Cheating or copying best fit',
  'ground': [
    ""'Copying' is commonly used for taking answers from others, but is seen as less harsh than 'cheating', and implies wrongdoing in the context of tests."",
    ""'Cheating' directly means using another person's answers on a test and is widely understood as dishonest behavior.""
  ]
}",stack,1,1,Word for cheating off of another person's test in class,1,"[""For an entire group of students passing answers to one another in an organized effort, I can not think of anything more apt than 'mass-cheating'"", 'I was looking for something more specific to my scenario', 'To copy something from someone is the best thing I can come up with', ""To copy something from someone does still convey that what's being done is wrong and essentially cheating"", ""You'd probably want a different word such as 'copying' for other cases"", 'Cheat and/or copy is perfectly appropriate', 'A student cheated during math tests by copying from the student beside him', ""It will be difficult to find a single word that covers every situation, other than 'cheating' or a synonym"", ""I could simply use the word 'cheating' here""]","[[], [""the students are definitely 'cooperating' in a sense"", ""cooperating doesn't really convey the feeling that they are doing something wrong/forbidden""], ['To copy something from someone is used in the particular way you mentioned as well', 'Mark copied his exam answers from Peter', ""I couldn't be bothered doing my homework, so instead I just copied the correct answers from my mate""], [""To copy something from someone is less harsh than using the word 'cheating'""], [], [], [], [], [""cheating means using another person's answers on a test""]]","[[""the students are definitely 'cooperating' in a sense"", ""To copy something from someone is less harsh than using the word 'cheating'"", ""I couldn't be bothered doing my homework, so instead I just copied the correct answers from my mate"", ""cooperating doesn't really convey the feeling that they are doing something wrong/forbidden"", 'To copy something from someone is used in the particular way you mentioned as well', ""cheating means using another person's answers on a test"", 'Mark copied his exam answers from Peter']]","{'claim': [""For an entire group of students passing answers to one another in an organized effort, I can not think of anything more apt than 'mass-cheating'"", 'I was looking for something more specific to my scenario', 'To copy something from someone is the best thing I can come up with', ""To copy something from someone does still convey that what's being done is wrong and essentially cheating"", ""You'd probably want a different word such as 'copying' for other cases"", 'Cheat and/or copy is perfectly appropriate', 'A student cheated during math tests by copying from the student beside him', ""It will be difficult to find a single word that covers every situation, other than 'cheating' or a synonym"", ""I could simply use the word 'cheating' here""], 'ground': [[""the students are definitely 'cooperating' in a sense"", ""To copy something from someone is less harsh than using the word 'cheating'"", ""I couldn't be bothered doing my homework, so instead I just copied the correct answers from my mate"", ""cooperating doesn't really convey the feeling that they are doing something wrong/forbidden"", 'To copy something from someone is used in the particular way you mentioned as well', ""cheating means using another person's answers on a test"", 'Mark copied his exam answers from Peter']]}"
"{
  'claim': 'Collusion or conspiracy fits',
  'ground': [
    'Cheating involves a secret, coordinated plan among multiple students, making it elaborate and unlawful.',
    'Collusion means secret or illegal cooperation to cheat or deceive, matching the context of group cheating.'
  ]
}",stack,1,1,Word for cheating off of another person's test in class,2,"['collusion does carry the proper connotation', 'conspiracy can work', ""I would go for 'conspiring' if the students are knowingly and deliberately working together""]","[['secret or illegal cooperation or conspiracy, especially in order to cheat or deceive others; an often secret action taken by two or more parties to achieve an illegal or improper purpose. -AHDEL'], ['a secret plan by a group to do something unlawful or harmful'], ['there are a lot of students', 'the cheating is elaborate']]","[['the cheating is elaborate', 'there are a lot of students', 'a secret plan by a group to do something unlawful or harmful'], ['secret or illegal cooperation or conspiracy, especially in order to cheat or deceive others; an often secret action taken by two or more parties to achieve an illegal or improper purpose. -AHDEL']]","{'claim': ['collusion does carry the proper connotation', 'conspiracy can work', ""I would go for 'conspiring' if the students are knowingly and deliberately working together""], 'ground': [['the cheating is elaborate', 'there are a lot of students', 'a secret plan by a group to do something unlawful or harmful'], ['secret or illegal cooperation or conspiracy, especially in order to cheat or deceive others; an often secret action taken by two or more parties to achieve an illegal or improper purpose. -AHDEL']]}"
"{'claim': 'Copying answers from others', 'ground': ['Cribbing means illicitly copying another student’s work, which is dishonest.']}",stack,1,1,Word for cheating off of another person's test in class,3,"[""Mark is acting without Peter's knowledge/approval""]","[['Mark cribbed his answers from Peter', ""Mark was cribbing Peter's answers"", ""cribbing (informal) - copy (another person's work) illicitly or without acknowledgment""]]","[[""cribbing (informal) - copy (another person's work) illicitly or without acknowledgment"", 'Mark cribbed his answers from Peter', ""Mark was cribbing Peter's answers""]]","{'claim': [""Mark is acting without Peter's knowledge/approval""], 'ground': [[""cribbing (informal) - copy (another person's work) illicitly or without acknowledgment"", 'Mark cribbed his answers from Peter', ""Mark was cribbing Peter's answers""]]}"
"{'claim': 'Cheating is a major issue', 'ground': ['Harvard experienced an unprecedented cheating scandal']}",stack,1,1,Word for cheating off of another person's test in class,4,['Harvard officials called it the biggest such probe in living memory'],[[]],[[]],"{'claim': ['Harvard officials called it the biggest such probe in living memory'], 'ground': [[]]}"
"{'claim': 'Cheating on exams is common', 'ground': ['Many students were involved in cheating on a take-home exam, indicating widespread academic dishonesty.']}",stack,1,1,Word for cheating off of another person's test in class,5,"['The probe involves about 125 students over cheating on a take-home exam for the course, called Introduction to Congress']",[[]],[[]],"{'claim': ['The probe involves about 125 students over cheating on a take-home exam for the course, called Introduction to Congress'], 'ground': [[]]}"
"{'claim': 'Cheating is plagiarism', 'ground': ['Passing off another’s work as your own is plagiarism', 'Academic integrity views test copying as plagiarism, with negative connotations']}",stack,1,1,Word for cheating off of another person's test in class,6,['This qualifies as plagiarism per OED def. 1'],"[[""The action or practice of taking someone else’s work, idea, etc., and passing it off as one's own"", 'This sense and definition, and its application to text-cribbing, strongly prevail in academic discourse on academic integrity']]","[[""The action or practice of taking someone else’s work, idea, etc., and passing it off as one's own"", 'This sense and definition, and its application to text-cribbing, strongly prevail in academic discourse on academic integrity']]","{'claim': ['This qualifies as plagiarism per OED def. 1'], 'ground': [[""The action or practice of taking someone else’s work, idea, etc., and passing it off as one's own"", 'This sense and definition, and its application to text-cribbing, strongly prevail in academic discourse on academic integrity']]}"
"{
  'claim': 'Dried herbs are more concentrated',
  'ground': ['Drying herbs concentrates their flavor, making them stronger and requiring less quantity compared to fresh herbs.']
}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",0,"[""If you are going to substitute, you'll need to add more (typically about 3x as much, as the dry is usually more concentrated)"", 'I always use roughly 25% more', 'When substituting you typically need to add much more of the herb', ""One exception to the rule is bay leaves -- you'll still need to add them early, and you'll want to reduce the number"", 'When using fresh in place of dried use slightly more']","[['the dry is usually more concentrated'], ['the fresh herbs tend to have a fresher, yet milder flavor'], ['drying shrinks the herb concentrating the flavour'], [], ['the fresh herbs tend to have a fresher, yet milder flavor']]","[['the dry is usually more concentrated', 'the fresh herbs tend to have a fresher, yet milder flavor', 'drying shrinks the herb concentrating the flavour']]","{'claim': [""If you are going to substitute, you'll need to add more (typically about 3x as much, as the dry is usually more concentrated)"", 'I always use roughly 25% more', 'When substituting you typically need to add much more of the herb', ""One exception to the rule is bay leaves -- you'll still need to add them early, and you'll want to reduce the number"", 'When using fresh in place of dried use slightly more'], 'ground': [['the dry is usually more concentrated', 'the fresh herbs tend to have a fresher, yet milder flavor', 'drying shrinks the herb concentrating the flavour']]}"
"{'claim': 'Dried herbs enhance flavor without altering color', 'ground': ['Dried herbs intensify taste while preserving dish appearance']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",1,"[""If you need to supercharge a dish but don't want to change the color, use dried herbs""]",[[]],[[]],"{'claim': [""If you need to supercharge a dish but don't want to change the color, use dried herbs""], 'ground': [[]]}"
"{'claim': 'Dried herbs can be unpleasant', 'ground': ['Dried herbs may remain tough and unappetizing if not properly hydrated, leading to a negative eating experience.']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",2,"[""Getting a piece of dried herb that hasn't had time to hydrate & soften can be really offputting to eat""]",[[]],[[]],"{'claim': [""Getting a piece of dried herb that hasn't had time to hydrate & soften can be really offputting to eat""], 'ground': [[]]}"
"{
  'claim': 'Dried herbs are better for some dishes',
  'ground': [
    'Some herbs, like oregano and rosemary, retain or develop stronger flavors when dried, while others like basil lose flavor; dried herbs work well in long-cooked dishes where their flavors have time to infuse.'
  ]
}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",3,"[""When you're dealing with winter dishes, dry herbs would've been the norm to have used at that time"", 'I tend to go fresh whenever possible', 'Fresh herbs generally have short storage times', 'My advice is to make the decision on a herb by herb basis.', ""You'll want to add it late in the cooking process, while dry herbs are usually added early"", 'Dried herbs are mostly useful for longer cooking dishes', 'Fresh herbs can be useful for outer seasoning, too', 'Certain herbs are very mild when fresh and do not develop their full smell and flavour until dried', 'There may be a benefit in using dried herbs with some recipes', 'When using fresh in place of dried, add later in the cooking process if possible', 'Fresh herb flavor is more delicate', 'Dry rubs are a great use for dried herbs', 'If you want the flavor to infuse into the dish you will need to use dried herbs', 'Choosing one or the other can depend on how long a dish is cooking', 'Heating herbs can discolor herbs', ""The main advantage to dry herbs is that they're available year round"", 'There is no one rule that holds all when it comes to dry/fresh herbs.']","[[], [], [], ['There is so much variation between herbs in how they respond to the drying process.'], [], ['Dried herbs take a while to impart flavor'], [], ['bayleaf and oregano are examples of such herbs'], [], ['fresh herbs are tenderer and can do a flavor dump very early in the process', 'the oils can evaporate and cook away quicker'], [], [], [], [], [""if you've seen someone put fresh basil on a pizza before baking it, you can observe what happens"", 'same goes for sauces like tomato sauce that simmer for hours'], [], ['There is so much variation between herbs in how they respond to the drying process.', 'Basil, for instance, loses most of it intense flavor in the drying process.', 'Most kinds of oregano have a very different flavour when dried.', 'Rosemary on the other hand maintains its flavour very well when dried.']]","[[""if you've seen someone put fresh basil on a pizza before baking it, you can observe what happens"", 'There is so much variation between herbs in how they respond to the drying process.', 'bayleaf and oregano are examples of such herbs', 'Dried herbs take a while to impart flavor', 'Rosemary on the other hand maintains its flavour very well when dried.', 'Basil, for instance, loses most of it intense flavor in the drying process.', 'Most kinds of oregano have a very different flavour when dried.', 'the oils can evaporate and cook away quicker', 'same goes for sauces like tomato sauce that simmer for hours', 'fresh herbs are tenderer and can do a flavor dump very early in the process']]","{'claim': [""When you're dealing with winter dishes, dry herbs would've been the norm to have used at that time"", 'I tend to go fresh whenever possible', 'Fresh herbs generally have short storage times', 'My advice is to make the decision on a herb by herb basis.', ""You'll want to add it late in the cooking process, while dry herbs are usually added early"", 'Dried herbs are mostly useful for longer cooking dishes', 'Fresh herbs can be useful for outer seasoning, too', 'Certain herbs are very mild when fresh and do not develop their full smell and flavour until dried', 'There may be a benefit in using dried herbs with some recipes', 'When using fresh in place of dried, add later in the cooking process if possible', 'Fresh herb flavor is more delicate', 'Dry rubs are a great use for dried herbs', 'If you want the flavor to infuse into the dish you will need to use dried herbs', 'Choosing one or the other can depend on how long a dish is cooking', 'Heating herbs can discolor herbs', ""The main advantage to dry herbs is that they're available year round"", 'There is no one rule that holds all when it comes to dry/fresh herbs.'], 'ground': [[""if you've seen someone put fresh basil on a pizza before baking it, you can observe what happens"", 'There is so much variation between herbs in how they respond to the drying process.', 'bayleaf and oregano are examples of such herbs', 'Dried herbs take a while to impart flavor', 'Rosemary on the other hand maintains its flavour very well when dried.', 'Basil, for instance, loses most of it intense flavor in the drying process.', 'Most kinds of oregano have a very different flavour when dried.', 'the oils can evaporate and cook away quicker', 'same goes for sauces like tomato sauce that simmer for hours', 'fresh herbs are tenderer and can do a flavor dump very early in the process']]}"
"{'claim': 'Dried herbs can be preferable', 'ground': ['Regular drying is less effective than freeze drying, which better preserves flavor.']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",4,"['It’s however not common to find freeze dried herbs in regular shops.', 'Freeze drying often maintains flavours of the fresh herb more.']","[[], ['The above refers to regular drying.']]",[['The above refers to regular drying.']],"{'claim': ['It’s however not common to find freeze dried herbs in regular shops.', 'Freeze drying often maintains flavours of the fresh herb more.'], 'ground': [['The above refers to regular drying.']]}"
"{'claim': 'Crush dried herbs before use', 'ground': ['Crushing dried herbs releases essential oils, enhancing flavor.']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",5,"['When using dried, crush them first']",[['crushing dried herbs helps release the essential oils in the dried herbs']],[['crushing dried herbs helps release the essential oils in the dried herbs']],"{'claim': ['When using dried, crush them first'], 'ground': [['crushing dried herbs helps release the essential oils in the dried herbs']]}"
"{'claim': 'Dried herbs add depth of flavor', 'ground': ['Dried herbs are best for long-cooked dishes, while fresh herbs are ideal for finishing.']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",6,"['You get layers of flavor, not just top notes']",[['I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end when the dish is pulled off the heat']],[['I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end when the dish is pulled off the heat']],"{'claim': ['You get layers of flavor, not just top notes'], 'ground': [['I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end when the dish is pulled off the heat']]}"
"{'claim': 'Dried herbs best for dry rubs', 'ground': ['Dried herbs grind well for rubs']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",7,['Dry rubs are one case where dry is specifically necessary'],[['you can grind them up properly']],[['you can grind them up properly']],"{'claim': ['Dry rubs are one case where dry is specifically necessary'], 'ground': [['you can grind them up properly']]}"
"{'claim': 'Fresh herbs offer unique uses', 'ground': ['Fresh herbs can be pureed into a paste for specific culinary applications, which dried herbs cannot replicate.']}",stack,1,2,"When, if ever, are dried herbs preferable to fresh herbs?",8,['Fresh herbs can be pureed to a paste and used under the skin'],[[]],[[]],"{'claim': ['Fresh herbs can be pureed to a paste and used under the skin'], 'ground': [[]]}"
"{
  ""claim"": ""Attaching strap above nut is usually fine"",
  ""ground"": [
    ""Attaching the strap above the nut is generally safe for lightweight instruments with thick necks, as they can handle the stress without issues."",
    ""For heavier instruments or those with thin necks, attaching the strap above the nut can cause stress, tuning problems, or damage, so caution is advised.""
  ]
}",stack,1,3,Is it a bad idea to attach my strap just above the nut?,0,"['We players tend to have the straps anchor the pot itself', ""We don't want to expose our necks to stress"", ""It shouldn't harm the guitar"", 'Mine has had no ill effects from having its strap attached to the headstock', 'It is most comfortable to have the left end of the strap attached to just above the nut on the neck', ""I wouldn't recommend that you attach your strap that way for a heavy banjo (especially if it has a long neck)"", ""For 'sideways warp' there are no correction mechanisms"", 'Balance the circle (pot) so that the neck naturally hangs where you need it', 'We never put a strap on the neck near the nut', 'You can indeed attach the strap to the neck or headstock for a very lightweight banjo with a thick neck', 'Altering the strap attachment will change the way the guitar hangs', 'The neck is light enough to be balanced by the pot, itself', ""The heavier the instrument and the slimmer (in the direction across the strings) and longer the neck, the more effect the 'unexpected' forces can deal out"", 'For a guitar attaching your strap that way would not be such a big deal', 'Necks tend to be thin and primarily designed to deal with the forces of the strings', 'Hanging the whole instrument from necks adds stress quite in a different direction and outside of its design', 'I worry that attaching the strap just above the nut on the neck is putting stress on the neck', 'If the neck naturally hangs low, snug the left strap farther along on the circumference of the pot hooks', 'You choose the hooks to attach to based on the ones that leave your neck at a natural angle when the pot is hanging in front of you']","[['the weight of a banjo is primarily in the pot'], ['our necks are much thinner than a guitar neck'], ['The truss rod and neck are set up to cope with high levels of tension', ""Unless you jump up and down a lot, the bending moment on the neck shouldn't be an issue""], [""It hangs comfortably and doesn't go out of tune whether I wear the strap or not""], [], ['it would most surely cause tuning problems, to say the least'], [], [], [], ['The banjos made by Backyard Music weigh a bit less than two pounds, most of it in the neck, and have a relatively thick neck', 'These banjos come with a screw-eye in the headstock for attaching a strap', 'You can also see the relatively thick neck that, along with the light weight, makes attaching the strap to the headstock not be a problem'], ['Guitars are made to balance with the strap attached to the body'], ['our necks are much thinner than a guitar neck'], ['hanging the whole instrument from necks adds stress quite in a different direction and outside of its design'], ['I have been using mine that way for decades, without any problem'], [], ['necks tend to be thin and primarily designed to deal with the forces of the strings'], [], [], []]","[['You can also see the relatively thick neck that, along with the light weight, makes attaching the strap to the headstock not be a problem', 'The truss rod and neck are set up to cope with high levels of tension', 'Guitars are made to balance with the strap attached to the body', 'our necks are much thinner than a guitar neck', 'I have been using mine that way for decades, without any problem', 'the weight of a banjo is primarily in the pot', ""Unless you jump up and down a lot, the bending moment on the neck shouldn't be an issue"", 'These banjos come with a screw-eye in the headstock for attaching a strap', 'hanging the whole instrument from necks adds stress quite in a different direction and outside of its design', 'The banjos made by Backyard Music weigh a bit less than two pounds, most of it in the neck, and have a relatively thick neck', 'necks tend to be thin and primarily designed to deal with the forces of the strings', 'it would most surely cause tuning problems, to say the least', ""It hangs comfortably and doesn't go out of tune whether I wear the strap or not""]]","{'claim': ['We players tend to have the straps anchor the pot itself', ""We don't want to expose our necks to stress"", ""It shouldn't harm the guitar"", 'Mine has had no ill effects from having its strap attached to the headstock', 'It is most comfortable to have the left end of the strap attached to just above the nut on the neck', ""I wouldn't recommend that you attach your strap that way for a heavy banjo (especially if it has a long neck)"", ""For 'sideways warp' there are no correction mechanisms"", 'Balance the circle (pot) so that the neck naturally hangs where you need it', 'We never put a strap on the neck near the nut', 'You can indeed attach the strap to the neck or headstock for a very lightweight banjo with a thick neck', 'Altering the strap attachment will change the way the guitar hangs', 'The neck is light enough to be balanced by the pot, itself', ""The heavier the instrument and the slimmer (in the direction across the strings) and longer the neck, the more effect the 'unexpected' forces can deal out"", 'For a guitar attaching your strap that way would not be such a big deal', 'Necks tend to be thin and primarily designed to deal with the forces of the strings', 'Hanging the whole instrument from necks adds stress quite in a different direction and outside of its design', 'I worry that attaching the strap just above the nut on the neck is putting stress on the neck', 'If the neck naturally hangs low, snug the left strap farther along on the circumference of the pot hooks', 'You choose the hooks to attach to based on the ones that leave your neck at a natural angle when the pot is hanging in front of you'], 'ground': [['You can also see the relatively thick neck that, along with the light weight, makes attaching the strap to the headstock not be a problem', 'The truss rod and neck are set up to cope with high levels of tension', 'Guitars are made to balance with the strap attached to the body', 'our necks are much thinner than a guitar neck', 'I have been using mine that way for decades, without any problem', 'the weight of a banjo is primarily in the pot', ""Unless you jump up and down a lot, the bending moment on the neck shouldn't be an issue"", 'These banjos come with a screw-eye in the headstock for attaching a strap', 'hanging the whole instrument from necks adds stress quite in a different direction and outside of its design', 'The banjos made by Backyard Music weigh a bit less than two pounds, most of it in the neck, and have a relatively thick neck', 'necks tend to be thin and primarily designed to deal with the forces of the strings', 'it would most surely cause tuning problems, to say the least', ""It hangs comfortably and doesn't go out of tune whether I wear the strap or not""]]}"
"{'claim': 'Portugal lacks notable microbreweries', 'ground': ['Beer selection is limited and lacks specialty brews', 'Lisbon is more focused on wine than beer']}",stack,1,4,Are there any microbrewery in Lisbon/Tomar in portugal?,0,"['Portugal is not really known for their beer', ""Beer doesn't end up shining in any significant way in the region""]","[[""The beers they sell commonly aren't too much on the hoppy-side"", 'From what I found about the usual style of beer over there, it seems that lagers are very common', 'There are a few other styles it seems, but no real specialty brew'], ['Lisbon seems to be a wine destination']]","[[""The beers they sell commonly aren't too much on the hoppy-side"", 'There are a few other styles it seems, but no real specialty brew', 'From what I found about the usual style of beer over there, it seems that lagers are very common'], ['Lisbon seems to be a wine destination']]","{'claim': ['Portugal is not really known for their beer', ""Beer doesn't end up shining in any significant way in the region""], 'ground': [[""The beers they sell commonly aren't too much on the hoppy-side"", 'There are a few other styles it seems, but no real specialty brew', 'From what I found about the usual style of beer over there, it seems that lagers are very common'], ['Lisbon seems to be a wine destination']]}"
"{'claim': 'Portugal has unique local brews', 'ground': ['Curious and positive interest in Portuguese specialty beers and local brews']}",stack,1,4,Are there any microbrewery in Lisbon/Tomar in portugal?,1,"['What is the specialty brew in Portugal?', 'Is there any special beer or beer-like alcohol from Portugal?']","[[], []]",[[]],"{'claim': ['What is the specialty brew in Portugal?', 'Is there any special beer or beer-like alcohol from Portugal?'], 'ground': [[]]}"
"{'claim': 'Lisbon has several microbreweries', 'ground': ['Quimera Brewpub offers a variety of locally produced craft beers and Portuguese food, reflecting a positive local microbrewery scene.']}",stack,1,4,Are there any microbrewery in Lisbon/Tomar in portugal?,2,"['Dois Corvos and Oitava Colina are both craft breweries in the area', 'There is a chain restaurant over in Portugal called Cervejeira Lusitana; also known as the Lusitanian Brewery', 'Quimera Brewpub in Rua Prior do Crato, Lisbon is a place to consider', 'There should be a few Cervejeira Lusitana in Lisbon', 'Are there any microbrewery in Lisbon/Tomar in Portugal?', 'The two craft breweries in Lisbon are Dois Corvos and Oitava Colina']","[[], ['This restaurant is a brewpub that sells beer and Portuguese food'], ['Quimera Brewpub has 12 taps of craft beers and bottles, all produced either by Quimera Brewpub or from good Portuguese micro breweries'], [], [], []]","[['Quimera Brewpub has 12 taps of craft beers and bottles, all produced either by Quimera Brewpub or from good Portuguese micro breweries', 'This restaurant is a brewpub that sells beer and Portuguese food']]","{'claim': ['Dois Corvos and Oitava Colina are both craft breweries in the area', 'There is a chain restaurant over in Portugal called Cervejeira Lusitana; also known as the Lusitanian Brewery', 'Quimera Brewpub in Rua Prior do Crato, Lisbon is a place to consider', 'There should be a few Cervejeira Lusitana in Lisbon', 'Are there any microbrewery in Lisbon/Tomar in Portugal?', 'The two craft breweries in Lisbon are Dois Corvos and Oitava Colina'], 'ground': [['Quimera Brewpub has 12 taps of craft beers and bottles, all produced either by Quimera Brewpub or from good Portuguese micro breweries', 'This restaurant is a brewpub that sells beer and Portuguese food']]}"
