arg_propositions,questionText,comments,summary,id,subset,my_category
"[
  {
    ""claim"": ""Cheat and/or copy is perfectly appropriate"",
    ""ground"": []
  },
  {
    ""claim"": ""A student cheated during math tests by copying from the student beside him"",
    ""ground"": []
  },
  {
    ""claim"": ""For an entire group of students passing answers to one another in an organized effort, I can not think of anything more apt than 'mass-cheating'"",
    ""ground"": []
  }
]",Word for cheating off of another person's test in class,"Cheat and/or copy - perfectly appropriate.   A student  cheated  during math tests by  copying  from the student beside him.    For  an entire group of students passing answers to one another in an organized effort, I can not think of anything more apt than  'mass-cheating' .","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
"[
  {
    ""claim"": ""To copy something from someone is the best thing I can come up with"",
    ""ground"": [""To copy something from someone is used in the particular way you mentioned as well"", ""Mark copied his exam answers from Peter"", ""I couldn't be bothered doing my homework, so instead I just copied the correct answers from my mate""]
  },
  {
    ""claim"": ""To copy something from someone does still convey that what's being done is wrong and essentially cheating"",
    ""ground"": [""To copy something from someone is less harsh than using the word 'cheating'""]
  }
]",Word for cheating off of another person's test in class,"The best thing I can come up with is ""To copy something from someone"". It is used in the particular way you mentioned as well.  ""Mark copied his exam answers from Peter"".  ""I couldn't be bothered doing my homework, so instead I just copied the correct answers from my mate"".  However, this does still convey that what's being done is wrong and essentially cheating although it's less harsh than using the word ""cheating"".","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
"[{""claim"": ""This qualifies as plagiarism per OED def. 1"", ""ground"": [""The action or practice of taking someone else’s work, idea, etc., and passing it off as one's own"", ""This sense and definition, and its application to text-cribbing, strongly prevail in academic discourse on academic integrity""]}]",Word for cheating off of another person's test in class,"This qualifies as  plagiarism  per OED def. 1:   The action or practice of taking someone else’s work, idea, etc., and passing it off as one's own.   This sense and definition, and its application to text-cribbing, strongly prevail in academic discourse on academic integrity.","Some commenters highlight that the scenario is vague and needs clarification.  Considering this ambiguity, commenters vary in their answers, including options such as collusion, copying, cribbing, conspiring, or plagiarism. One commenter suggests that high stakes standardized testing is largely to blame for the high incidence of cheating among students.",1,stack,1
"[
  {
    ""claim"": ""There may be a benefit in using dried herbs with some recipes"",
    ""ground"": []
  }
]","When, if ever, are dried herbs preferable to fresh herbs?","Sometimes I see a recipe call for dried herbs. If I have access to fresh herbs, should I go for fresh herbs instead? Is there any benefit in using dried herbs with some recipes?","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[
  {
    ""claim"": ""Dry rubs are one case where dry is specifically necessary"",
    ""ground"": [""you can grind them up properly""]
  },
  {
    ""claim"": ""The main advantage to dry herbs is that they're available year round"",
    ""ground"": []
  },
  {
    ""claim"": ""When you're dealing with winter dishes, dry herbs would've been the norm to have used at that time"",
    ""ground"": []
  },
  {
    ""claim"": ""If you are going to substitute, you'll need to add more (typically about 3x as much, as the dry is usually more concentrated)"",
    ""ground"": [""the dry is usually more concentrated""]
  },
  {
    ""claim"": ""You'll want to add it late in the cooking process, while dry herbs are usually added early"",
    ""ground"": []
  },
  {
    ""claim"": ""One exception to the rule is bay leaves -- you'll still need to add them early, and you'll want to reduce the number"",
    ""ground"": []
  }
]","When, if ever, are dried herbs preferable to fresh herbs?","Dry rubs are one case that I can think of where dry is specifically necessary, so you can grind them up properly.  The main advantage to dry herbs is that they're available year round.  When you're dealing with winter dishes, dry herbs would've been the norm to have used at that time.  If you are going to substitute, you'll need to add more (typically about 3x as much, as the dry is usually more concentrated), and you'll want to add it late in the cooking process, while dry herbs are usually added early.  One exception to the rule is bay leaves -- you'll still need to add them early, and you'll want to reduce the number.","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[{""claim"": ""Certain herbs are very mild when fresh and do not develop their full smell and flavour until dried"", ""ground"": [""bayleaf and oregano are examples of such herbs""]},
 {""claim"": ""Fresh herbs generally have short storage times"", ""ground"": []},
 {""claim"": ""When substituting you typically need to add much more of the herb"", ""ground"": [""drying shrinks the herb concentrating the flavour""]}]","When, if ever, are dried herbs preferable to fresh herbs?","Certain herbs are very mild when fresh and do not develop their full smell and flavour until dried; e.g. bayleaf, oregano.  Fresh herbs generally have short storage times. When substituting you typically need to add much more of the herb, as drying shrinks it concentrating the flavour.","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[
  {
    ""claim"": ""I tend to go fresh whenever possible"",
    ""ground"": []
  },
  {
    ""claim"": ""When using dried, crush them first"",
    ""ground"": [""crushing dried herbs helps release the essential oils in the dried herbs""]
  },
  {
    ""claim"": ""When using fresh in place of dried use slightly more"",
    ""ground"": [""the fresh herbs tend to have a fresher, yet milder flavor""]
  },
  {
    ""claim"": ""I always use roughly 25% more"",
    ""ground"": [""the fresh herbs tend to have a fresher, yet milder flavor""]
  },
  {
    ""claim"": ""When using fresh in place of dried, add later in the cooking process if possible"",
    ""ground"": [""fresh herbs are tenderer and can do a flavor dump very early in the process"", ""the oils can evaporate and cook away quicker""]
  }
]","When, if ever, are dried herbs preferable to fresh herbs?","I tend to go fresh whenever possible.   Some useful tips:   When using dried, crush them first. I typically smash them with my thumb a few times into the palm of my other hand. This helps release the essential oils in the dried herbs.  When using fresh in place of dried use slightly more. I'm not an herb-measurer, I eyeball, but I always use roughly 25% more. The fresh herbs tend to have a fresher, yet milder flavor. They also give up their essential oils much easier than dried, so the oils can evaporate and cook away quicker.  When using fresh in place of dried, add later in the cooking process if possible. This depends a lot on which herbs in particular. The reason behind this is similar to the previous tip, fresh herbs are tenderer and can do a flavor dump very early in the process.","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[
  {
    ""claim"": ""There is no one rule that holds all when it comes to dry/fresh herbs."",
    ""ground"": [
      ""There is so much variation between herbs in how they respond to the drying process."",
      ""Basil, for instance, loses most of it intense flavor in the drying process."",
      ""Most kinds of oregano have a very different flavour when dried."",
      ""Rosemary on the other hand maintains its flavour very well when dried.""
    ]
  },
  {
    ""claim"": ""My advice is to make the decision on a herb by herb basis."",
    ""ground"": [
      ""There is so much variation between herbs in how they respond to the drying process.""
    ]
  },
  {
    ""claim"": ""Freeze drying often maintains flavours of the fresh herb more."",
    ""ground"": [
      ""The above refers to regular drying.""
    ]
  },
  {
    ""claim"": ""It’s however not common to find freeze dried herbs in regular shops."",
    ""ground"": []
  }
]","When, if ever, are dried herbs preferable to fresh herbs?","There is no one rule that holds all when it comes to dry/fresh herbs. There is so much variation between herbs in how they respond to the drying process. Basil, for instance, loses most of it intense flavor in the drying process. As pointed out to some others most kinds of oregano have a very different flavour when dried. Rosemary on the other hand maintains its flavour very well when dried. My advice is to make the decision on a herb by herb basis.   The above refers to regular drying. Note that freeze drying often maintains flavours of the fresh herb more. It’s however not common to find freeze dried herbs in regular shops.","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[
  {
    ""claim"": ""Heating herbs can discolor herbs"",
    ""ground"": [""if you've seen someone put fresh basil on a pizza before baking it, you can observe what happens"", ""same goes for sauces like tomato sauce that simmer for hours""]
  },
  {
    ""claim"": ""If you want the flavor to infuse into the dish you will need to use dried herbs"",
    ""ground"": []
  },
  {
    ""claim"": ""Fresh herb flavor is more delicate"",
    ""ground"": []
  },
  {
    ""claim"": ""If you need to supercharge a dish but don't want to change the color, use dried herbs"",
    ""ground"": []
  }
]","When, if ever, are dried herbs preferable to fresh herbs?","Heating herbs can discolor them - if you've seen someone put fresh basil on a pizza before baking it, you can observe what happens.  Same goes for sauces like tomato sauce that simmer for hours.  If you want the flavor to infuse into the dish you will need to use dried.  In addition, fresh herb flavor is more delicate.  If you need to supercharge a dish but don't want to change the color, use dried herbs.","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[
  {
    ""claim"": ""Dry rubs are a great use for dried herbs"",
    ""ground"": []
  },
  {
    ""claim"": ""Fresh herbs can be pureed to a paste and used under the skin"",
    ""ground"": []
  },
  {
    ""claim"": ""Fresh herbs can be useful for outer seasoning, too"",
    ""ground"": []
  },
  {
    ""claim"": ""Choosing one or the other can depend on how long a dish is cooking"",
    ""ground"": []
  },
  {
    ""claim"": ""Dried herbs take a while to impart flavor"",
    ""ground"": []
  },
  {
    ""claim"": ""Dried herbs are mostly useful for longer cooking dishes"",
    ""ground"": [""Dried herbs take a while to impart flavor""]
  },
  {
    ""claim"": ""Getting a piece of dried herb that hasn't had time to hydrate & soften can be really offputting to eat"",
    ""ground"": []
  },
  {
    ""claim"": ""I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end when the dish is pulled off the heat"",
    ""ground"": []
  },
  {
    ""claim"": ""You get layers of flavor, not just top notes"",
    ""ground"": [""I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end when the dish is pulled off the heat""]
  }
]","When, if ever, are dried herbs preferable to fresh herbs?","Dry rubs are a great use  for dried herbs, but  fresh can be pureed to a paste  and used under the skin, so they can be useful for outer seasoning, too.  Choosing one or the other can  depend on how long  a dish is cooking.  Dried herbs take a while to impart flavor  so they're mostly useful for longer cooking dishes. Also, getting a piece of dried herb that  hasn't had time to hydrate & soften can be really offputting  to eat! Often, however,  I use both- dried or sturdier herbs at the beginning & fresher/more tender herbs at the end  when the dish is pulled off the heat. That way you get  layers of flavor , not just top notes.","A couple of commenters suggest that there are some cases where dry herbs are better than fresh, such as when making dry rubs or when heating herbs for a long time, which would otherwise discolor them. Several commenters also endorse which herbs they like better dry versus fresh, but there is not a consensus on which way is better for specific herbs; people have different opinions. Another thing mentioned is that fresh herbs can't be stored for as long as dried, generally.",2,stack,1
"[{""claim"": ""It is most comfortable to have the left end of the strap attached to just above the nut on the neck"", ""ground"": []}, {""claim"": ""I worry that attaching the strap just above the nut on the neck is putting stress on the neck"", ""ground"": []}]",Is it a bad idea to attach my strap just above the nut?,This question is mainly for my banjo but it seems to apply to my guitar as well.  For me it is most comfortable to have the left end of the strap attached to just above the nut on the neck.  Is this a bad idea?  I worry that it is putting stress on the neck.,"Most commenters agree that attaching the strap above the nut is not the best idea because the instrument's neck is not generally designed to support the extra weight. Other commenters were more ambiguous, saying that it did not make a big difference and that having the instrument balanced was the most important. One commenter mentioned that the extra strain on the neck could result in tuning problems.",3,stack,1
"[
  {
    ""claim"": ""I wouldn't recommend that you attach your strap that way for a heavy banjo (especially if it has a long neck)"",
    ""ground"": [""it would most surely cause tuning problems, to say the least""]
  },
  {
    ""claim"": ""For a guitar attaching your strap that way would not be such a big deal"",
    ""ground"": [""I have been using mine that way for decades, without any problem""]
  }
]",Is it a bad idea to attach my strap just above the nut?,"In the case of a heavy banjo (and specially if it has a long neck) I wouldn't recomend that you attach your strap that way, it would most surely cause tuning problems, to say the least.For a guitar I don't think it would be such a big deal.Been using mine that way for decades, without any problem.","Most commenters agree that attaching the strap above the nut is not the best idea because the instrument's neck is not generally designed to support the extra weight. Other commenters were more ambiguous, saying that it did not make a big difference and that having the instrument balanced was the most important. One commenter mentioned that the extra strain on the neck could result in tuning problems.",3,stack,1
"[
  {
    ""claim"": ""Altering the strap attachment will change the way the guitar hangs"",
    ""ground"": [""Guitars are made to balance with the strap attached to the body""]
  },
  {
    ""claim"": ""It shouldn't harm the guitar"",
    ""ground"": [
      ""The truss rod and neck are set up to cope with high levels of tension"",
      ""Unless you jump up and down a lot, the bending moment on the neck shouldn't be an issue""
    ]
  }
]",Is it a bad idea to attach my strap just above the nut?,"In general, guitars are made to balance with the strap attached to the body (I know, it's a generalisation - one of my acoustics has the strap attached at the nut:-) - so altering that will change the way it hangs. Whether or not that is a bad thing is obviously up to you.  I would imagine, even for an electric, that it shouldn't harm the guitar - the truss rod and neck are set up to cope with high levels of tension so unless you jump up and down a lot, the bending moment on the neck shouldn't be an issue.","Most commenters agree that attaching the strap above the nut is not the best idea because the instrument's neck is not generally designed to support the extra weight. Other commenters were more ambiguous, saying that it did not make a big difference and that having the instrument balanced was the most important. One commenter mentioned that the extra strain on the neck could result in tuning problems.",3,stack,1
"[
  {
    ""claim"": ""We players tend to have the straps anchor the pot itself"",
    ""ground"": [""the weight of a banjo is primarily in the pot""]
  },
  {
    ""claim"": ""We never put a strap on the neck near the nut"",
    ""ground"": []
  },
  {
    ""claim"": ""You choose the hooks to attach to based on the ones that leave your neck at a natural angle when the pot is hanging in front of you"",
    ""ground"": []
  },
  {
    ""claim"": ""If the neck naturally hangs low, snug the left strap farther along on the circumference of the pot hooks"",
    ""ground"": []
  },
  {
    ""claim"": ""Balance the circle (pot) so that the neck naturally hangs where you need it"",
    ""ground"": []
  },
  {
    ""claim"": ""We don't want to expose our necks to stress"",
    ""ground"": [""our necks are much thinner than a guitar neck""]
  },
  {
    ""claim"": ""The neck is light enough to be balanced by the pot, itself"",
    ""ground"": [""our necks are much thinner than a guitar neck""]
  }
]",Is it a bad idea to attach my strap just above the nut?,"Since the weight of a banjo is primarily in the pot, we players tend to have the straps anchor the pot itself. We never put a strap on the neck near the nut.  It's usually configured like this:    http://neotechstraps.com/skin/frontend/neotech/default/images/Pilot/SuperBanjoStrap2.jpg ...and you choose the hooks to attach to based on the ones that leave your neck at a natural angle when the pot is hanging in front of you. For example, if the neck naturally hangs low, snug the left strap farther along on the circumference of the pot hooks. Basically: Balance the circle (pot) so that the neck naturally hangs where you need it.  Our necks are  much  thinner than a guitar neck, so we A) Don't want to expose it to stress, and B) it's light enough to be balanced by the pot, itself.  And as a reality reference: My right strap is one hook ""above"" the tailpiece anchor, and my left strap snugs around the backside/heel of the neck and grabs the second (from the heel) hook from there. So to say it another way, if you're looking straight-on at my banjo with the neck up at noon, My right strap is around 6:15 (hourhand-wise), and the left is about 1 o'clock.","Most commenters agree that attaching the strap above the nut is not the best idea because the instrument's neck is not generally designed to support the extra weight. Other commenters were more ambiguous, saying that it did not make a big difference and that having the instrument balanced was the most important. One commenter mentioned that the extra strain on the neck could result in tuning problems.",3,stack,1
