subset,id,questionText,clusters
stack,10,How can I strengthen my fretting hand away from my guitar?,"[['The issue with the ring finger following the middle finger is a question of independence or maybe flexibility', 'Finger exercises by Greg Irwin require absolutely no extra equipment, other than the digits that nature has equipped us with', 'Something like the Planet Waves Varigrip should help you out', 'You can build your own dexterity exercises from the examples', 'A simple soft rubber ball can do the job', 'Going through an old newspaper or flyer from the mail sheet by sheet rolling them into a ball as fast and hard as I can (alternating between each hand) really does a number on my forearms and fingers', 'I use the product line called Grip Master', 'You will want to push with each finger one at a time so you build up each finger itself', 'You squeeze and release a simple soft rubber ball slowly gripped in your fret board hand', 'Squeezing and releasing a simple soft rubber ball slowly helps build strength in the hand muscles you use to fret your guitar', 'The Finger Fitness exercises by Greg Irwin are good for finger independence and swiftness', ""Any learner of any musical instrument should take a look at Greg Irwin's finger exercises"", 'It does increase strength', ""There are exercises I can do while I don't have my guitar that can help improve the strength of my fingers, especially my ring and pinky fingers"", 'There are exercises I can do to help me move my fingers independently of each other', 'I have had luck with the Grip Master (and other derivatives) series of hand exercisers'], ['The fret hand requires stamina more than raw strength'], ['You should try to hold it for a certain amount of time'], [""Don't spring for the heaviest tension exerciser they have""], ['Repetition is key to a musical instrument'], ['Many of the exercises people have suggested will increase stamina too', 'Stamina is also a large factor'], ['The fingertip/small of thumb grip (Finger Tip Pinch) has worked best for me with guitar'], ['The warm-up time when playing is drastically reduced when used lightly beforehand'], ['Doing reps while holding the grip down for 3 to 5 seconds at a time is really where all the benefits come from'], [""I wouldn't buy Greg Irwin's whole DVD series""], ['Finger strength is not the crucial thing for almost any musical instrument'], ['Get a Powerball to train your fingers and hands'], ['Go with quality over quantity'], ['I always lose or misplace those grippie things you can buy at Guitar shops'], ['Too much of a good thing is bad with any sort of exercise']]"
stack,11,Should I use 'or' or 'nor' after a negative statement?,"[['or is correct in your example', ""'She didn’t speak slowly or clearly' has a better ring to it than 'She didn’t speak slowly nor clearly'"", 'This document covers neither the SDK interfaces nor any other reference material', ""I don't study French or Spanish is equivalent to Word's preference"", ""'He is not interested in math or science' is correct"", 'We should use ""or"" to link the noun phrases', 'Word interprets this as: This document does not cover [either] the SDK interfaces or any other reference material', 'We effectively ignore the ""not"" when considering the rest of the sentence structure', ""If the two options are negative (neither this nor that) then use 'nor'."", 'your original sentence is correct', 'This document does not cover the SDK interfaces nor any other reference material', ""when the second negative item is a noun, adjective, or adverb phrase, you should use 'or' to continue the negative thought"", ""I just keep Word's grammar checker turned off and rely on thorough proof-reading."", ""I don't study French nor Spanish is equivalent to your sentence"", ""when you use the word 'not,' the structure 'not A or B' is correct"", ""Your example sentence can be reworded to read, 'This document covers neither the SDK interfaces nor any other reference material.'"", 'This document does not cover the SDK interfaces, nor does it include any other reference material', 'to use nor is redundant', ""Word's grammar checker is mediocre at best."", ""I study neither French nor Spanish is equivalent to moioci's first rewrite"", ""Otherwise, use 'or'."", ""My grammatical checker in Microsoft Word underlines 'nor' and suggests 'or'""], [""if the second part of the negative is a verb phrase—not a verb clause—then you can choose to use 'nor' or 'or'""], [""if you’re unsure which word to use, or if you want to avoid the problem, you can try saying, 'and no' for the second part of the negative""], [""the phrase 'and not' will also work""], ['https://www.wikihow.com/Use-nor gives a thorough explanation of when to use nor']]"
stack,12,What is the metaphoric meaning of silo?,"[['A functional silo exists when the business processes of a functional unit within the division of labor of an organization focus inwardly on their functional objectives.', 'BPR recommends the removal of a function-focused approach and its replacement with a process-focused approach, thereby destroying the functional silos and encouraging cross-functional integration.', 'Something to do with fermenting seems to be missing in these explanations', ""the origin of the metaphor is the idea that grain silos don't communicate with each other"", ""This becomes problematic when the direction of focus creates barriers that do not serve a reasonable business purpose and negatively impacts the unit's ability to serve their role in the broader mission of the organization."", 'it is a rather strange metaphor for isolation', 'A term used within business process re-engineering (BPR) to denote areas within an organization where managers occupy a privileged position in terms of resources and influence, and where they use this for their own, self-interested, functionally-oriented motives rather than for the wider benefit of the business.', 'Silo is a metaphor', 'Process-oriented organizations break down the barriers of structural departments', 'A functional group or department within an organization acts as a silo or island in its lack of interaction with other groups and in not sharing its internal data or processes', 'There are people and groups in an organization that behave in the same way as silos', 'Process-oriented organizations try to avoid functional silos', ""It's a fermenting over time, away from the rest of the influences"", 'Poorly operated silos become structurally unsound and can lead to a collapse or worse', 'A functional silo in an organization or business is not inherently negative', 'silo is being used as a metaphor here, not an actual silo'], ['Certain high level communications are best made where tight controls are in place, limiting access'], ['Communications within a silo do take into account those outside the silo'], ['Any business including nonprofit organizations must be profitable to grow by adding new staff at all levels'], ['Silos are good when properly operated']]"
stack,13,Can I control the rate at which new prisoners arrive?,"[['You can open or close prisoner security categories (min, normal, max)', 'You can use the Intake tab to control the number prisoners you receive every day as well as the percentage of minimum/medium/maximum security prisoners you get', 'Alpha 30 has added a new Intake report tab', 'If you close all prisoner security categories, you will receive no prisoners that day'], ['You now receive a fixed daily grant of $150 per prisoner, regardless of category', 'You now receive a one-off payment for each inmate you accept into your prison', 'Alpha 30 changed the way you get paid for inmates'], ['You still need a delivery area, though, so move it further away from the road.', 'You CAN avoid gaining new prisoners by removing your delivery area next to the road.'], ['Your holding cell now counts for how many prisoners you can hold.'], ['In Alpha 2, any new prisons you create have an option to only send prisoners when you have room for them.', 'there is an option when creating a new prison to have new prisoners sent only when there are cells for them'], ['Alpha 30 removed the Continuous Intake option when making a new prison'], ['I want to build a prison that lasts'], ['For anyone using a save game from Alpha 1, this trick still works.'], [""You can open up the save file with Notepad or something and change 'Intake.numPrisoners' to whatever you want (Greater than 0, Less than 1000000)""]]"
stack,14,What's the difference between an -ing noun and a real noun,"[['It is OK to use developing as a noun', 'Its substantival nature is shown by its ability to take an attributive adjective.', 'In general, you can generate a noun that refers to the process of the verb', 'These should be used at the appropriate situations.', '""developing"" is not a noun.', ""Even if you can generate an -ing noun from a verb, there's no reason to assume it would mean the same thing as a noun ending with -ment generated from the same verb"", ""An '-ing' can be added to create a new noun"", 'A gerund would normally have in it the verbal nature which the corresponding noun does not have.', 'Its substantival nature is shown by its ability to take a definite or an indefinite article.', 'In the case of ""developing"" one might compare ""The development of AIDS in Africa has proved to be one of the biggest tragedies in the Third World"" vs ""The new president aims at developing the country\'s poor-relief system"".', 'Many verbs have many corresponding nouns', ""The noun form of verbs by adding '-ing' are called gerunds."", ""It's not a universal rule"", 'Development is a noun', 'If development refers to a single major development such as a shopping mall, then developing is not possible', 'You cannot say, I am going for a swimming.', 'Some verbs have corresponding nouns', 'Its verbal nature is shown by the fact that it can have a subject.', 'You cannot use any word anywhere you feel like, while writing in English.', 'Its substantival nature is shown by its ability to be the object of a preposition.', ""If they always meant the same thing, we wouldn't need different suffixes"", 'Developing is also a noun', 'Develop is a verb', 'You have to say, Swimming is his hobby.', 'Developing is the gerund form of the verb develop', 'In parallel cases a noun ending in -ment would normally imply the result of an action, the product of an action while the corresponding gerund would refer to the action itself.', 'Its substantival nature is shown by the fact that it can take a plural ending.', 'You can definitely say, I am going for a swim.', ""When do I use gerunds and not the 'normal noun' form? Well, that comes with practice."", 'In cases where there is no alternative, the sentence sounds fine', 'Its verbal nature is shown by its ability to take a direct and an indirect object.', 'The second sentence here is grammatical', 'You cannot say, Swim is his hobby.', 'The reason it sounds strange is partly because the whole concept is a little fuzzy, but mostly because we have a perfectly good and common alternative to developing: development', 'Developing is a noun but not the one you think', 'You can sometimes generate a noun by adding -ing', 'Development is the noun form'], ['Its verbal nature is shown by its ability to appear in different tenses.'], ['The active form of a gerund is often used in a passive sense.'], ['They thought that Tom would bring a big development for this small town is the correct one.']]"
stack,15,What use is the sniper rifle in Mass Effect 3?,"[[""Once you get the Black Widow 1 you'll probably be killing anything without major defenses in one shot"", 'It makes thin cover almost irrelevant with AP Ammo/Pierce Mod/Javelin/Widow/B.Widow', 'Time dilation on Soldiers and Infiltrator make sniping a viable option, especially against heavily-armored enemies.', 'You will want a sniper rifle to deal with an Atlas', 'Infiltrators get additional benefits for Sniper Rifles', 'The extra damage a sniper does comes in handy if you can headshot a humanoid foe', 'The slowed time allows you to take headshots easier', 'Infiltrators can use Tactical Cloak to position themselves strategically to take out opponents from long ranges, and line up a perfect shot unnoticed.', 'A powerful sniper rifle with a high rate of fire and the time dilation effect makes you almost unstoppable', 'Tactical Cloak also allows you to take your time to get a good headshot while dealing extra damage to boot', 'Sniper Rifles are still quite good, even at fairly short ranges.', 'Snipers like the Widow and Javelin are tremendously powerful', 'Snipers really do a ridiculous amount of damage if statted properly', ""If you're an Infiltrator or Soldier you get a 'time dilation' effect with the sniper rifle which slows down time"", 'Soldiers can use Sniper Rifles to open an engagement, as well as shooting from the hip with them to get a little bit of extra punch against armored opponents.'], [""If you're not a good shot or you're not playing soldier or infiltrator you probably shouldn't bother with Sniper Rifles because of the weight issue you note"", 'The sniper is pretty much unused during the game', 'The added weight is probably not worth it for a Vanguard, Adept, Engineer or Sentinel.', 'It may not be good to carry the ME3 sniper around'], [""These classes have a high weight allowance, so carrying around Sniper Rifles isn't as detrimental to your cooldown""], [""If you get down to melee you're generally hitting F9 at that point""], ['The melee bonuses on some of the infiltrator skills make for an interesting combination'], ['The only real challenge with snipers is hitting moving targets and ammo conservation'], ['I need nothing else if you send me into the field with the M-13 Raptor and a Scorpion pistol', 'The M-13 Raptor is my personal favorite'], ['The rifle in question is a factor as well']]"
stack,16,What are the children of two Muggle-borns called?,"[['If that’s the case then (particularly in the last book where Muggle-Borns are thought to have stolen magic from wizards) the fact that your parents are wizards wouldn’t purify your blood.', 'If the analogy is between Muggles and Jews, the closest real world analogue to the child of two Muggle-borns would be the child of ethnic Jews whose families converted to Christianity.', 'The Death Eaters’ concept of Half-Bloods corresponds to Mischlinge in the Nuremburg laws.', ""Death Eaters will likely call these children 'Mudbloods' or 'Half-Bloods' unless they want their allegiance for some reason"", 'Given that Ron defines a Mudblood as someone with non-magic parents, the implication would be that non-magic grandparents do not make someone a Mudblood.', 'To be referred to as a pure-blood, all your grandparents must be magical', ""Others with a slightly racist mind will likely call these children 'unpure' and the like"", 'Rowling has stated that she based the Death Eaters’ hang-ups about blood purity based on grandparents directly on Nazi propaganda about Jews.', 'In the movies there are only three terms mentioned', 'There is no special term for this type of children or their children', 'In Nazi (and Death-Eater) propaganda, this makes no difference.', 'It would stand to reason, then, that you’d still be a Mudblood.', 'If all four of your grandparents are Muggles then your parents likely had no wizard blood.', 'Everyday wizards will most likely not consider these children an honourful wizard family with a long family history like others', 'That ideology made a point of not having a different term for them suggesting they were different—if anything, they were seen as presenting a special danger of marrying into the Master Race and making it impure.', ""Everyday wizards will most likely just consider these children 'normal' unspecial wizards"", 'If your blood is merely diluted then you’re a Half-Blood, but if your blood is entirely Muggle then you’re a Mudblood.', 'If you have one (or more) pure-blood grandparents and one (or more) Muggle grandparents, then you are a half-blood', 'No specific name is ever mentioned', 'There is no such description given in movies for Muggle parents (Dursley)'], ['If you are instead looking for a neutral, socially-acceptable term, I would suggest second-generation.']]"
stack,17,What can I do with vegetable water?,"[['I make a vegetable stock', 'I use it to make risotto', 'You can fortify vegetable water with more savory tasting vegetables if desired', 'Make soup with sourdough starter', 'Vegetable tea consommé serves as a great seasoning for grains, legumes, meat, seafood and vegetable hot soup', 'The vegetable water makes a great base for both stock and gravy', ""I don't want to waste any thing unless I have to for a valid reason"", 'A little salt and chili powder can be added to vegetable tea if you enjoy broth made by eating picks of square chopped aliments as a snack', 'Vegetable tea consommé can be complemented with little pieces like bread, solid cheese, more vegetables or used to cook ramen noodles', 'You practically have vegetable tea', 'You can just pour the steaming water into the powder for extra flavour if you use instant granules', 'Celery and carrots usually impart a nice flavor', 'You should just drink vegetable tea at your preferred temperature', 'You can fortify vegetable water with chicken broth if meat is an option', 'You can use vegetable water to make your own beef/chicken broth', 'Corn and other wheats can serve great for making good complements such as tortillas and other region specific bread shapes with vegetable tea', 'Herbal tea can be added to vegetable tea for a more focused flavor', 'Vegetable tea can be made into consommé and is a good clear soup to drink warm/hot', 'Vegetable water can often be used as a base for a broth', 'Vegetable tea can be flavored water and a good meal companion', 'Vegetable tea can be hydrating water for training, exercise, or hangover'], [""houseplants really love it (after it's cooled, of course)""], [""You can use the veggie water as a substitute for water in your morning smoothies, especially if there's color and flavor in it""], ['You should strain the solids'], ['I like using vegetable water to cook pasta, particularly when I am going to not use a thick sauce', 'I also use vegetable water to cook rice, in the same vein as above'], ['Make bread with sourdough starter'], ['Vegetable water is totally harmless']]"
stack,18,How can I pour a concrete pad with a circular hole in it?,"[['A Rubbermaid container is about the size you want', ""Metal landscape edging (the kind that's held in with stakes) should work fairly well"", 'I would like to put down a concrete pad for a patio but leave a couple of circular areas within that patio unpaved for planting shrubs', 'I would look for something else cheap that is about the correct size', 'Ideally the object would be something flexible or breakable so you can get it out when you are done', ""I am asking if there is a clever trick or something for creating a 3' diameter unpaved area within a concrete pad aside from trying to bend plywood planks into a circle"", 'Knock the foam out when it sets up', 'I would use something else cheap covered with plastic sheeting to keep the concrete out', 'Use a upside down 5 gallon bucket, paint can, or anything that is deep enough to not get buried in the concrete', 'I would cover something else cheap with plastic sheeting', 'You could either just leave metal landscape edging there or cover it in plastic and remove it after the concrete sets', 'The advantage is that you can easily dismantle it after the concrete has cured by knocking the staves inward'], ['You should be able to find Bender Board in both wood and recycled plastic', 'This can be done using Bender Board', 'Using Sonotubes is a good solution for creating well-defined, beautiful circles for concrete footings.', 'Sonotubes can be purchased in short lengths as well as different diameters.', 'When using Bender Board to form concrete make sure you use enough stakes to hold the weight of the concrete', 'Staking the Sonotube in place along the inside is necessary.'], ['You can usually buy a half barrel at a good nursery/garden center'], ['You should first install some nice edging (of brick or otherwise)', 'You should then concrete up to the edging'], ['Having a firm base for the bottom of the Sonotube is important.']]"
stack,19,Why is my baby crying?,"[[""A list I made and kept as a poster over the crib includes possible reasons for a baby's distress""], ['I need something I can print out in advance', 'You may not always be able to determine a cause'], [""If the baby is a newborn, then she shouldn't have got here""], [""Gassy is the most common reason for crying when it's not hunger"", 'If the baby is showing signs of wind (knees to chest, red face), wind her'], ['If the baby needs fed, feed her', 'Hungry is the most common reason for my 1mo daughter crying'], ['For lesser problems your primary job may be distraction', 'I would highly recommend The Happiest Baby on the Block', 'My response to crying is always to check if the baby needs fed, has a dirty nappy, has wind, or is tired', 'You should go through a cry reasons checklist in your head every time until your reaction is automatic', 'If the baby is still crying you need to look outside healthy, normal reasons for crying', 'A simple set of rules can be followed to sort the problem for a healthy baby', 'If you have these things in mind you can start to identify what leads to crying in your baby'], ['If your baby continues to cry call your doctor or nurse helpline'], ['It is very likely normal for your baby to cry'], ['Keep it all in a little notebook and bring it with you to doctor visits just in case to help remind you of things'], ['PURPLE crying is actually different from gas/heartburn/stomach upset'], ['Want Mommy/Daddy to hold her encompasses bored/scared/lonely and is maybe 20% of her crying', 'If the baby is older, then she requires attention, cuddles, play etc.'], ['You need to keep track of a crazy amount of stuff: what is the baby eating, when, when is the baby sleeping, how long, any burps, how about diaper changes, and so on'], ['If it is just the two of you please find some help', 'Even as little as a couple hours once a week is important for your health and ability to have perspective', 'You need to ration your strength', 'Both parents and other caregivers should give each other breaks from the crying to recover'], [""If the baby's nappy is dirty, change her""], ['If the baby is tired, help her get to sleep'], ['The lists given are great'], ['You may need to go in for a visit']]"
